X10.kasha,X14.diggingstick,X2.firewood,X9.baobabstick,X21.arrow,X22.honeyguide,X20.bow,X6.butcher,X5.pound,X7.pegs,X16.poison,X13.honey,X1.digtuber,X3.bow
6,2,6,2,9.5,6,9.5,6,2,12.5,12.5,12.5,6,12.5
6,6,6,6,6,6,6,6,6,14,12,6,6,13
3,5,2,4,8,1,12,14,13,11,9,6,10,7
1,3,6,5,8,2,9,14,4,12,11,7,10,13
2,1,5,3,4,10,12,7,6,9,14,11,8,13
3,11,4,6,14,8,1,13,5,2,10,12,7,9
1,2,6,5,7,11,9,3,12,8,4,13,10,14
1,2,6,11,4,12,13.5,10,8,8,13.5,3,8,5
2,1,5,8,3,4,12,9,10,13,7,6,11,14
12,6,10,2,9,3,5,4,13,8,1,11,14,7
11,13,9,12,2,8,6,5,14,1,3,7,10,4
2,3,4,7,14,1,9,8,11,5,13,6,10,12
1,3,2,10.5,4.5,14,7,10.5,6,4.5,8,13,10.5,10.5
1,3,4,7,6,13.5,9,5,12,2,11,10,8,13.5
2,1,4,3,8.5,11,6,9,5,8.5,10,12,13.5,13.5
5,1.5,5,5,9.5,5,1.5,8,11.5,13.5,9.5,5,11.5,13.5
4.5,3,8,4.5,2,6,1,7,10,11,9,12,14,13
7.5,1.5,1.5,7.5,4.5,3,4.5,10,13,12,6,10,14,10
3,2,8,6,7,1,4,10,5,12,9,13,11,14
2,6,1,3,5,14,7,12,13,9,10,8,4,11
1,4,3,10,10,10,10,10,2,10,10,10,5,10
