ID,animalID_dinya,animalID_tamba/kala(ku),animalID_mosila/nkila,animalID_koi,animalID_inde/mbombutu,animalID_ngomba,animalID_esende,animalID_ekala,animalID_monge,animalID_ekadi/mokato,animalID_bwondi,animalID_ndjumbe,animalID_mboloko,animalID_bemba,plantID_epange,plantID_bonjenbe/botoko,plantID2017_esuma,plantID_boboka,plantID_ndiki/kobo,plantID_koko,plantID_ekule/ewala/bodiaka,plantID_mela,plantID_ngangi/kobo,plantID2017_dedesumbu,plantID_mbila,plantID_jabuka,plantID_gondo,plantID_mokasa,18.climbingvine_sum,4.basketvine_sum
1006,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,NA,1,0,1,1,1,0,NA,1,1,1,1,5,3
1007,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,NA,1,0,1,1,1,1,NA,1,1,1,1,4,1
1010,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,NA,0,0,1,0,0,0,NA,1,1,1,0,0,0
1016,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,NA,1,1,1,1,1,0,NA,1,1,1,1,3,3
1022,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,NA,1,1,1,1,2,2
1024,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,NA,1,0,1,1,1,0,NA,1,1,1,1,0,0
1029,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,2,2
1032,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,NA,1,0,1,0,1,0,NA,1,1,1,0,3,2
1038,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,NA,0,1,1,1,1,0,NA,1,1,1,1,2,3
1043,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,NA,0,0,1,0,1,0,NA,1,1,1,1,0,2
1101,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,9,3
1102,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,4,3
1103,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,NA,0,0,1,1,1,0,NA,1,1,1,1,8,3
1104,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,5,5
1105,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,0,NA,1,1,1,1,5,3
1106,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,NA,1,0,1,1,1,1,NA,1,1,1,1,3,2
1107,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,NA,1,0,1,1,1,1,NA,1,1,1,1,5,3
1108,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,NA,0,1,1,1,1,0,NA,1,1,1,1,5,2
1109,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,NA,1,0,1,1,1,0,NA,1,1,1,1,3,3
1110,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,NA,0,0,1,1,1,0,NA,1,1,1,1,6,3
1111,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,NA,0,0,1,1,1,1,NA,1,1,1,1,3,3
1112,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,NA,0,1,1,1,1,1,NA,1,1,1,1,3,2
1113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,1,0,1,1,1,1,NA,1,1,1,1,9,3
1114,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,NA,1,1,1,1,1,1,NA,1,1,1,1,4,3
1115,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,NA,0,0,1,1,1,1,NA,1,1,1,1,3,4
1116,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,NA,1,0,1,1,1,0,NA,1,1,1,1,5,2
1117,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,1,1,1,1,NA,1,1,1,1,6,2
1118,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,NA,1,0,1,1,1,1,NA,1,1,1,0,3,3
1119,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,NA,1,0,1,1,1,1,NA,1,1,1,1,4,2
1120,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,NA,0,1,1,1,1,1,NA,1,1,1,1,3,3
1121,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,NA,1,0,1,1,1,0,NA,1,1,1,1,3,4
1122,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,0,1,1,1,0,NA,1,1,1,1,5,3
1123,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,NA,1,0,1,1,1,1,NA,1,1,1,1,6,3
2024,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,4,3
2025,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,2,2
2034,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,4,2
2035,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,2,3
2508,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,3,0
2524,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,5,4
2526,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,4,4
2583,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
