item,rater1,rater2,rater3,rater4,rater5,rater6,rater7,rater8,rater9,rater10,rater11,rater12,rater13,rater14,rater15,rater16,rater17,rater18,rater19,rater20,rater21,rater22,rater23,mean
X11.koko,7,3,4,7,10,5,6,1,14,9,1,1,3,2,2,8,1,21,4,10,13,7,7,6.347826087
X14.butcheranimal,3,10,1,19,13,1,8,2,7,7,5,7,4,10,1,11,4,15,2,7,3,1,8,6.47826087
X2.smalltree,4,2,3,14,1,8,2,8,2,6,7,5,10,6,10,2,19,22,3,14,9,2,1,6.956521739
X12.jabuka,8,13,8,2,20,4,7,7,8,13,2,2,2,3,3,6,2,18,8,8,5,5,6,6.956521739
X13.mbila,6,9,7,1,19,6,5,6,12,10,4,8,7,7,6,5,8,17,7,9,7,8,2,7.652173913
X15.butcherfish,20,5,6,20,12,2,1,12,4,3,6,10,8,22,4,10,14,11,1,15,4,9,3,8.782608696
X1.hole,5,11,2,17,15,16,14,17,1,1,16,9,11,1,9,1,9,7,17,4,8,3,9,8.826086957
X16.fishpoison,1,7,11,8.5,9,7,15,11,3,4.5,11,12,9,19,13,7,20,4,11,13,6,11,12,9.782608696
X5.smokytorch,9,1,15,5,18,11,12,15,5,11,15,15,20,11,12,15,5,3,5,2,2,10,11,9.913043478
X8.fishtrap,18,14,17,3,2,14,4,3,9,15,8,3,12,5,22,22,11,12,12,18,1,4,4,10.13043478
X7.firewood,2,6,5,15,14,3,9,5,15,12,10,6,6,4,7,9,18,10,15,19,18,12,14,10.17391304
X20.pendi,19,4,12,12,8,10,10,10,13,14,13,16,1,12,15,13,3,9,6,12,11,6,10,10.39130435
X6.doka,11,12,9,10,3,12,3,9,6,2,12,22,5,21,11,14,17,16,14,1,19,19,5,11
X4.basket,14,8,18,4,4,13,11,4,11,16,9,4,18,20,16,19,16,20,16,22,10,14,13,13.04347826
X19.traps,16,18,14,22,11,9,16,13,20,8,3,11,17,14,5,12,22,2,13,17,17,13,17,13.47826087
X17.nethunt,21,16,13,13,5,15,13,20,10,4.5,17,17,13,9,14,17,13,14,21,6,15,22,20,14.2826087
X9.gun,15,17,20,21,7,18,17,21,22,22,20,18,15,13,8,3,6,19,22,3,22,17,19,15.86956522
X10.spear,10,20,22,11,6,20,18,22,17,21,19,14,14,16,21,21,7,13,19,5,21,15,18,16.08695652
X3.bigtree,13,22,21,18,21,22,22,19,18,19,14,19,19,17,19,4,12,5,9,16,12,20,15,16.34782609
X23.kombi,22,19,19,8.5,16,19,19,16,21,17,22,13,16,8,20,20,15,8,20,11,16,16,21.5,16.65217391
X18.climbigtree,12,15,16,16,22,21,21,18,19,18,21,20,22,15,17,18,10,1,10,21,14,21,16,16.69565217
X21.garden,17,21,10,6,17,17,20,14,16,20,18,21,21,18,18,16,21,6,18,20,20,18,21.5,17.15217391
