ID,age,sex,X1.hole_bin_collect,X2.smalltree_bin_collect,X3.bigtree_bin_honey,X4.basket_collect,X5.smokytorch_honey,6.doka_fishing,X7.firewood_cooking,X8.fishtrap_fishing,_X9.gun_hunting,X10.spear_hunting,X11.koko_cooking,X12.jabuka_cooking,X13.mbila_cooking,X14.butcheranimal_cooking,X15.butcherfish_cooking,X16.fishpoison_fishing,X17.nethunt_hunting,X18.climbigtree_honey,X20.pendi_honey,X21.garden_collect,X23.kombi_fishing,X19.traps_hunting,X4.basketvine_explicit,X18.climbingvine_explicit,X24.honey_sum,animal_sum_explicit,plant_sum_explicit,bin_max,collect_total,collect_offset,hunting_total,hunting_offset,honey_total,offset_honey,cooking_total,offset_cooking,explicit_total,offset_explicit,culture
1006,17,1,1,1,1,0,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,4,3,5,6,7,9,19,7,8,8,45,10,15,3,6,24,40,BaYaka
1007,12,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,4,0,8,8,19,4,8,0,45,0,15,3,6,21,40,BaYaka
1010,8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,6,4,19,3,8,1,45,0,15,3,6,10,40,BaYaka
1016,14,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,3,3,5,7,10,19,6,8,1,45,7,15,6,6,23,40,BaYaka
1022,12,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,2,2,0,9,9,19,7,8,0,45,0,15,6,6,22,40,BaYaka
1024,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,19,1,8,0,45,0,15,2,6,16,40,BaYaka
1029,17,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,2,2,5,10,12,19,5,8,1,45,6,15,6,6,26,40,BaYaka
1032,16,1,1,1,0,0,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,0,5,2,3,6,10,7,19,6,8,9,45,9,15,3,6,22,40,BaYaka
1038,15,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,3,2,4,6,8,19,7,8,0,45,5,15,6,6,19,40,BaYaka
1043,14,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,2,0,0,7,6,19,5,8,0,45,1,15,6,6,15,40,BaYaka
1101,25,1,1,1,1,1,1,1,1,0,13,9,0,0,0,1,1,1,1,1,NA,NA,1,5,3,9,8,13,12,19,6,7,28,45,11,14,3,6,37,40,BaYaka
1102,25,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,4,4,6,12,19,8,8,1,45,7,15,6,6,25,40,BaYaka
1103,45,1,1,1,1,1,1,1,1,1,4,4,0,0,0,1,1,1,1,1,1,1,1,6,3,8,7,8,10,19,8,8,15,45,11,15,3,6,29,40,BaYaka
1104,45,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,5,5,5,7,9,11,19,8,8,6,45,10,15,6,6,30,40,BaYaka
1105,45,1,1,1,1,1,1,1,1,1,11,6,1,1,1,1,1,1,1,1,1,1,1,7,3,5,8,9,10,19,8,8,25,45,12,15,6,6,27,40,BaYaka
1106,45,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,2,3,2,9,9,19,8,8,1,45,3,15,6,6,23,40,BaYaka
1107,35,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,3,5,4,9,11,19,7,8,1,45,6,15,6,6,28,40,BaYaka
1108,35,1,1,1,1,1,1,1,1,1,6,4,0,1,1,1,1,1,1,1,1,1,1,8,2,5,8,11,9,19,8,8,19,45,12,15,5,6,27,40,BaYaka
1109,35,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,3,3,6,9,9,19,7,8,1,45,8,15,6,6,24,40,BaYaka
