ID,plantID_1,plantID_2,plantID_3,plantID_4,plantID_5,plantID_6,plantID_8,plantID_9,animalsID_1,animalID_2,animalID_3,animalID_4,animalID_5,animalID_6,animalID_7,animalID_8,animalID_9,animalID_10,animalID_11,animalID_12,animalID_13,animalID_14
12005,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1
12006,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
12007,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
12008,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0
12017,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
12018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
12020,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
12021,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12022,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
12027,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12029,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0
12032,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
12034,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12035,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12036,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1
12037,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
12038,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1
12039,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
12040,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
12041,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
12042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12043,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
12044,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1
12045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12046,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1
12049,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12051,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1
12052,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
12053,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
12054,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12055,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1
12056,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
12057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
12058,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
12060,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12078,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
12079,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
12080,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
12081,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1
12083,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0
12084,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12086,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
12087,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0
12089,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
12090,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12091,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1
12093,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
12094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
12095,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
12096,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0
12097,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
12099,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1
12100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12102,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
12104,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
12105,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1
