item,rater1,rater2,rater3,rater4,rater5,rater6,rater7,rater8,rater9,rater10,rater11,rater12,rater13,rater14,rater15,rater16,rater17,rater18,rater19,rater20,rater21,mean
X10.kasha,6,6,3,1,2,3,1,1,2,12,11,2,1,1,2,5,4.5,7.5,3,2,1,3.666666667
X14.diggingstick,2,6,5,3,1,11,2,2,1,6,13,3,3,3,1,1.5,3,1.5,2,6,4,3.80952381
X2.firewood,6,6,2,6,5,4,6,6,5,10,9,4,2,4,4,5,8,1.5,8,1,3,5.023809524
X9.baobabstick,2,6,4,5,3,6,5,11,8,2,12,7,10.5,7,3,5,4.5,7.5,6,3,10,6.071428571
X21.arrow,9.5,6,8,8,4,14,7,4,3,9,2,14,4.5,6,8.5,9.5,2,4.5,7,5,10,6.928571429
X22.honeyguide,6,6,1,2,10,8,11,12,4,3,8,1,14,13.5,11,5,6,3,1,14,10,7.119047619
X20.bow,9.5,6,12,9,12,1,9,13.5,12,5,6,9,7,9,6,1.5,1,4.5,4,7,10,7.333333333
X6.butcher,6,6,14,14,7,13,3,10,9,4,5,8,10.5,5,9,8,7,10,10,12,10,8.595238095
X5.pound,2,6,13,4,6,5,12,8,10,13,14,11,6,12,5,11.5,10,13,5,13,2,8.642857143
X7.pegs,12.5,14,11,12,9,2,8,8,13,8,1,5,4.5,2,8.5,13.5,11,12,12,9,10,8.857142857
X16.poison,12.5,12,9,11,14,10,4,13.5,7,1,3,13,8,11,10,9.5,9,6,9,10,10,9.166666667
X13.honey,12.5,6,6,7,11,12,13,3,6,11,7,6,13,10,12,5,12,10,13,8,10,9.214285714
X1.digtuber,6,6,10,10,8,7,10,8,11,14,10,10,10.5,8,13.5,11.5,14,14,11,4,5,9.595238095
X3.bow,12.5,13,7,13,13,9,14,5,14,7,4,12,10.5,13.5,13.5,13.5,13,10,14,11,10,11.07142857
