sex,age,tacit_X1.digtuber_bin,tacit_X2.firewood_bin,tacit_X3.bow_sum,tacit_X5.pound_bin,tacit_X6.butcher_bin,tacit_X7.pegs_bin,tacit_X9.baobabstick_bin,tacit_X10.kasha_bin,tacit_X13.honey_sum,tacit_X14.diggingstick_bin,tacit_X16.poison_bin,tacit_X20.bow_bin,tacit_X21.arrow_bin,tacit_X22.honeyguide_bin,explicit_plant_sum,explicit_animal_sum,honey_total,honey_offset,hunting_total,hunting_offset,collect_total,collect_offset,cooking_total,cooking_offset,explicit_total,explicit_offset,culture,ID
1,11,1,1,0,1,1,1,1,1,2,1,0,1,1,1,4,6,4,9,2,26,3,3,4,4,10,22,Hadza,12005
1,13,0,1,5,0,0,1,1,0,5,1,0,0,1,1,7,12,7,9,6,26,2,3,1,4,19,22,Hadza,12006
1,16,1,1,11,1,1,1,1,1,6,1,1,1,1,1,7,10,8,9,14,26,3,3,4,4,17,22,Hadza,12007
0,14,1,1,0,1,0,0,1,1,0,1,0,0,0,0,5,6,0,9,0,26,3,3,3,4,11,22,Hadza,12008
0,17,1,1,0,1,0,0,1,1,0,1,0,0,0,0,8,11,0,9,0,26,3,3,3,4,19,22,Hadza,12017
0,16,1,1,0,1,0,0,1,1,0,1,0,0,0,0,8,13,0,9,0,26,3,3,3,4,21,22,Hadza,12018
1,18,1,1,11,0,1,1,1,1,6,0,1,1,1,1,8,12,8,9,14,26,2,3,3,4,20,22,Hadza,12019
1,13,1,0,4,0,1,1,1,1,3,1,0,0,1,1,8,12,5,9,5,26,3,3,2,4,20,22,Hadza,12020
1,14,1,1,5,0,1,1,1,1,5,1,1,1,1,1,6,13,7,9,8,26,3,3,3,4,19,22,Hadza,12021
1,13,1,1,11,1,1,1,1,1,5,1,1,1,1,1,4,12,7,9,14,26,3,3,4,4,16,22,Hadza,12022
1,55,1,1,11,0,1,1,1,1,5,1,1,1,1,1,4,13,7,9,14,26,3,3,3,4,17,22,Hadza,12027
0,55,1,1,0,1,0,0,1,1,0,1,0,0,0,0,7,8,0,9,0,26,3,3,3,4,15,22,Hadza,12029
1,25,1,1,17,1,1,1,1,1,6,1,1,1,1,1,7,13,8,9,20,26,3,3,4,4,20,22,Hadza,12032
0,45,1,1,0,1,0,0,1,1,0,1,0,0,0,0,7,13,0,9,0,26,3,3,3,4,20,22,Hadza,12034
1,45,1,1,23,0,1,1,1,1,6,1,1,1,1,1,5,13,8,9,26,26,3,3,3,4,18,22,Hadza,12035
0,35,1,1,0,1,0,0,0,1,0,1,0,0,0,0,7,9,0,9,0,26,2,3,3,4,16,22,Hadza,12036
0,65,1,1,0,1,0,0,1,1,3,1,0,0,0,1,5,4,4,9,0,26,3,3,3,4,9,22,Hadza,12037
0,25,1,1,0,1,0,1,1,1,1,1,0,0,0,0,7,8,2,9,0,26,3,3,3,4,15,22,Hadza,12038
1,25,0,0,4,0,1,1,1,1,3,0,1,1,1,NA,6,12,4,8,7,26,1,3,2,4,18,22,Hadza,12039
1,15,1,1,11,1,1,1,1,1,7,1,1,1,1,1,6,12,9,9,14,26,3,3,4,4,18,22,Hadza,12040
0,55,1,1,0,1,0,0,0,1,0,1,0,0,0,0,7,12,0,9,0,26,2,3,3,4,19,22,Hadza,12041
1,65,1,1,19,0,1,1,1,1,5,1,1,1,1,1,8,14,7,9,22,26,3,3,3,4,22,22,Hadza,12042
1,65,0,1,11,0,1,1,1,1,5,1,1,1,1,1,4,12,7,9,14,26,2,3,3,4,16,22,Hadza,12043
0,65,1,1,0,1,0,0,1,1,0,1,0,0,0,1,6,8,1,9,0,26,3,3,3,4,14,22,Hadza,12044
1,35,1,1,13,1,1,1,1,1,7,NA,1,1,1,1,8,13,9,9,16,26,2,2,4,4,21,22,Hadza,12045
0,25,1,1,0,1,0,0,0,1,0,1,0,0,0,NA,6,10,0,8,0,26,2,3,3,4,16,22,Hadza,12046
1,35,1,1,8,0,1,1,1,1,5,1,1,1,1,1,5,14,7,9,11,26,3,3,3,4,19,22,Hadza,12049
1,25,0,0,5,0,1,1,1,0,4,0,1,0,1,1,7,10,6,9,7,26,1,3,1,4,17,22,Hadza,12051
1,25,0,1,6,0,1,1,1,1,4,0,1,1,1,1,6,11,6,9,9,26,1,3,3,4,17,22,Hadza,12052
1,25,1,1,19,0,1,1,1,1,6,1,1,1,1,1,7,13,8,9,22,26,3,3,3,4,20,22,Hadza,12053
1,25,0,1,17,0,1,1,1,1,6,1,1,1,1,1,6,13,8,9,20,26,2,3,3,4,19,22,Hadza,12054
1,35,0,1,5,0,1,1,1,1,7,1,1,1,1,1,5,10,9,9,8,26,2,3,3,4,15,22,Hadza,12055
0,25,1,1,0,1,0,0,0,1,0,1,0,0,0,0,7,11,0,9,0,26,2,3,3,4,18,22,Hadza,12056
1,35,1,1,10,0,1,1,1,1,6,1,1,1,1,1,8,13,8,9,13,26,3,3,3,4,21,22,Hadza,12057
1,25,0,1,5,0,1,1,1,1,3,1,1,1,1,1,5,11,5,9,8,26,2,3,3,4,16,22,Hadza,12058
1,25,1,1,6,0,1,1,1,1,5,1,1,1,1,1,8,13,7,9,9,26,3,3,3,4,21,22,Hadza,12060
0,14,1,1,0,1,0,1,1,1,0,1,1,0,1,1,3,6,2,9,2,26,3,3,3,4,9,22,Hadza,12078
0,13,1,1,0,1,0,0,1,1,0,1,0,0,0,1,3,12,1,9,0,26,3,3,3,4,15,22,Hadza,12079
1,10,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,7,1,9,2,26,1,3,0,4,11,22,Hadza,12080
1,7,1,1,3,1,1,1,1,1,0,1,0,1,1,1,4,8,2,9,5,26,3,3,4,4,12,22,Hadza,12081
0,15,1,1,0,1,0,0,1,1,0,1,0,0,0,0,7,8,0,9,0,26,3,3,3,4,15,22,Hadza,12083
1,45,1,0,12,0,1,1,1,1,6,1,1,1,1,1,5,14,8,9,15,26,3,3,2,4,19,22,Hadza,12084
0,45,1,1,0,1,1,0,1,1,6,1,0,0,1,1,8,14,7,9,1,26,3,3,4,4,22,22,Hadza,12085
0,55,1,1,0,1,0,0,0,1,4,1,0,0,0,1,7,12,5,9,0,26,2,3,3,4,19,22,Hadza,12086
1,55,1,1,13,1,1,1,1,1,6,1,1,1,1,1,7,8,8,9,16,26,3,3,4,4,15,22,Hadza,12087
1,25,1,1,19,0,1,1,1,1,7,0,1,1,1,1,7,13,9,9,22,26,2,3,3,4,20,22,Hadza,12089
1,65,1,1,12,0,1,1,1,1,5,1,1,1,1,1,6,14,7,9,15,26,3,3,3,4,20,22,Hadza,12090
0,25,1,1,0,1,0,0,1,1,0,1,0,0,0,1,6,9,1,9,0,26,3,3,3,4,15,22,Hadza,12091
1,25,1,1,8,0,1,1,1,1,6,0,1,1,1,1,5,12,8,9,11,26,2,3,3,4,17,22,Hadza,12093
0,25,0,1,0,1,0,0,1,0,0,1,0,0,0,0,8,11,0,9,0,26,2,3,2,4,19,22,Hadza,12094
0,25,1,1,0,1,0,0,1,1,0,1,0,0,0,0,5,12,0,9,0,26,3,3,3,4,17,22,Hadza,12095
0,45,1,1,0,1,0,0,1,1,3,1,0,0,1,0,5,8,3,9,1,26,3,3,3,4,13,22,Hadza,12096
1,45,1,1,15,0,1,1,1,1,6,1,1,1,1,1,7,13,8,9,18,26,3,3,3,4,20,22,Hadza,12097
0,25,1,1,0,1,0,1,0,1,1,1,0,0,0,1,3,6,3,9,0,26,2,3,3,4,9,22,Hadza,12099
1,25,1,1,1,0,1,1,0,0,1,0,1,1,1,1,8,13,3,9,4,26,1,3,2,4,21,22,Hadza,12100
1,35,0,1,14,0,1,1,1,1,6,1,1,1,1,1,6,13,8,9,17,26,2,3,3,4,19,22,Hadza,12102
1,11,1,1,2,0,1,1,1,1,3,0,1,1,1,1,4,12,5,9,5,26,2,3,3,4,16,22,Hadza,12104
1,9,1,1,6,0,1,1,1,1,4,1,0,1,1,1,5,8,6,9,8,26,3,3,3,4,13,22,Hadza,12105
1,7,0,0,2,0,1,0,1,1,1,1,0,1,1,0,4,7,1,9,4,26,2,3,2,4,11,22,Hadza,12106
1,17,0,1,15,0,1,1,1,1,5,1,1,1,1,1,4,14,7,9,18,26,2,3,3,4,18,22,Hadza,12109
1,14,1,0,3,0,1,1,1,1,5,0,1,1,1,1,6,14,7,9,6,26,2,3,2,4,20,22,Hadza,12110
1,17,1,1,8,0,1,1,1,0,6,1,1,1,1,1,5,12,8,9,11,26,3,3,2,4,17,22,Hadza,12111
0,65,1,1,0,1,0,0,1,1,4,1,0,0,0,1,8,12,5,9,0,26,3,3,3,4,20,22,Hadza,12118
0,25,1,1,0,1,0,0,0,1,1,1,0,0,0,0,8,9,1,9,0,26,2,3,3,4,17,22,Hadza,12119
1,25,1,1,3,0,1,1,1,1,6,1,1,1,1,1,4,13,8,9,6,26,3,3,3,4,17,22,Hadza,12120
0,65,1,1,0,1,0,0,0,1,0,1,0,0,0,1,8,11,1,9,0,26,2,3,3,4,19,22,Hadza,12124
1,65,0,1,4,0,0,1,1,1,0,0,0,0,1,1,7,9,2,9,5,26,1,3,2,4,16,22,Hadza,12127
0,55,1,1,0,1,0,0,0,1,0,1,0,0,0,0,6,8,0,9,0,26,2,3,3,4,14,22,Hadza,12128
1,35,1,1,10,0,1,1,1,1,6,1,1,1,1,1,5,14,8,9,13,26,3,3,3,4,19,22,Hadza,12129
0,35,1,1,0,1,0,0,0,1,0,1,0,0,0,0,7,11,0,9,0,26,2,3,3,4,18,22,Hadza,12130
1,35,1,1,13,0,1,1,1,1,5,1,1,1,1,1,8,14,7,9,16,26,3,3,3,4,22,22,Hadza,12133
0,35,1,1,0,1,1,0,0,1,1,1,0,0,0,0,6,9,1,9,0,26,2,3,4,4,15,22,Hadza,12134
