skill,ID,age,sex,value,meanz,culture,method
X1.hole_by,1006,17,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1007,12,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1016,14,0,own,-0.712058057,BaYaka,Individual
X1.hole_by,1022,12,0,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1024,10,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1029,17,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1032,16,1,own,-0.712058057,BaYaka,Individual
X1.hole_by,1038,15,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1043,14,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1101,25,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1102,25,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1103,45,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1104,45,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1105,45,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1106,45,0,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1107,35,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1108,35,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1109,35,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1110,45,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1111,65,0,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1112,35,0,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1113,35,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1114,35,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1115,65,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1116,35,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1117,55,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1118,55,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1119,25,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1120,35,0,own,-0.712058057,BaYaka,Individual
X1.hole_by,1121,25,0,observation,-0.712058057,BaYaka,Observation
X1.hole_by,1122,25,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,1123,55,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2024,45,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,2025,45,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2034,35,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2035,35,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2524,12,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2526,14,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,2583,14,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2585,14,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,2587,18,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2588,13,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,2594,14,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2596,16,0,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2599,17,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2600,17,1,observation,-0.712058057,BaYaka,Observation
X1.hole_by,2604,35,1,taught,-0.712058057,BaYaka,Teaching
X1.hole_by,2607,35,0,own,-0.712058057,BaYaka,Individual
X1.hole_by,2608,65,1,taught,-0.712058057,BaYaka,Teaching
