skill,ID,age,sex,value,meanz,culture,Pathway
X1.hole_from,1006,17,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1007,12,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1010,8,1,NA,-0.712058057,BaYaka,NA
X1.hole_from,1016,14,0,NA,-0.712058057,BaYaka,NA
X1.hole_from,1022,12,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1024,10,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1029,17,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1032,16,1,NA,-0.712058057,BaYaka,NA
X1.hole_from,1038,15,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1043,14,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1101,25,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1102,25,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1103,45,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1104,45,0,father,-0.712058057,BaYaka,Vertical
X1.hole_from,1105,45,1,father,-0.712058057,BaYaka,Vertical
X1.hole_from,1106,45,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1107,35,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1108,35,1,father,-0.712058057,BaYaka,Vertical
X1.hole_from,1109,35,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1110,45,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1111,65,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1112,35,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1113,35,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1114,35,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1115,65,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1116,35,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1117,55,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1118,55,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1119,25,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1120,35,0,NA,-0.712058057,BaYaka,NA
X1.hole_from,1121,25,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1122,25,1,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,1123,55,1,father,-0.712058057,BaYaka,Vertical
X1.hole_from,2024,45,1,father,-0.712058057,BaYaka,Vertical
X1.hole_from,2025,45,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,2034,35,1,father,-0.712058057,BaYaka,Vertical
X1.hole_from,2035,35,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,2508,14,1,NA,-0.712058057,BaYaka,NA
X1.hole_from,2524,12,1,bothparents,-0.712058057,BaYaka,Vertical
X1.hole_from,2526,14,1,father,-0.712058057,BaYaka,Vertical
X1.hole_from,2583,14,0,mother,-0.712058057,BaYaka,Vertical
X1.hole_from,2585,14,1,mother,-0.712058057,BaYaka,Vertical
