skill,ID,age,sex,value,meanz,Culture,sex_pathway
X1.hole_from,1104,45,0,father,-0.712058057,BaYaka,Male
X1.hole_from,1105,45,1,father,-0.712058057,BaYaka,Male
X1.hole_from,1108,35,1,father,-0.712058057,BaYaka,Male
X1.hole_from,1123,55,1,father,-0.712058057,BaYaka,Male
X1.hole_from,2024,45,1,father,-0.712058057,BaYaka,Male
X1.hole_from,2034,35,1,father,-0.712058057,BaYaka,Male
X1.hole_from,2526,14,1,father,-0.712058057,BaYaka,Male
X1.hole_from,2604,35,1,father,-0.712058057,BaYaka,Male
X1.hole_from,2608,65,1,father,-0.712058057,BaYaka,Male
X1.hole_from,2610,35,1,father,-0.712058057,BaYaka,Male
X1.hole_from,2673,45,1,father,-0.712058057,BaYaka,Male
X10.spear_from,1006,17,1,father,1.221497968,BaYaka,Male
X10.spear_from,1032,16,1,father,1.221497968,BaYaka,Male
X10.spear_from,1101,25,1,father,1.221497968,BaYaka,Male
X10.spear_from,1103,45,1,father,1.221497968,BaYaka,Male
X10.spear_from,1104,45,0,father,1.221497968,BaYaka,Male
X10.spear_from,1105,45,1,father,1.221497968,BaYaka,Male
X10.spear_from,1108,35,1,father,1.221497968,BaYaka,Male
X10.spear_from,1110,45,1,father,1.221497968,BaYaka,Male
X10.spear_from,1113,35,1,father,1.221497968,BaYaka,Male
X10.spear_from,1117,55,1,father,1.221497968,BaYaka,Male
X10.spear_from,1119,25,1,father,1.221497968,BaYaka,Male
X10.spear_from,1122,25,1,father,1.221497968,BaYaka,Male
X10.spear_from,1123,55,1,father,1.221497968,BaYaka,Male
X10.spear_from,2024,45,1,father,1.221497968,BaYaka,Male
X10.spear_from,2034,35,1,father,1.221497968,BaYaka,Male
X10.spear_from,2508,14,1,father,1.221497968,BaYaka,Male
X10.spear_from,2524,12,1,father,1.221497968,BaYaka,Male
X10.spear_from,2526,14,1,father,1.221497968,BaYaka,Male
X10.spear_from,2585,14,1,grandfather,1.221497968,BaYaka,Male
X10.spear_from,2594,14,1,father,1.221497968,BaYaka,Male
X10.spear_from,2596,16,0,father,1.221497968,BaYaka,Male
X10.spear_from,2599,17,1,grandfather,1.221497968,BaYaka,Male
X10.spear_from,2604,35,1,father,1.221497968,BaYaka,Male
X10.spear_from,2610,35,1,father,1.221497968,BaYaka,Male
X10.spear_from,2612,65,1,father,1.221497968,BaYaka,Male
X10.spear_from,2655,65,0,father,1.221497968,BaYaka,Male
X10.spear_from,2656,25,0,father,1.221497968,BaYaka,Male
X10.spear_from,2663,35,1,father,1.221497968,BaYaka,Male
X10.spear_from,2664,16,1,father,1.221497968,BaYaka,Male
X10.spear_from,2667,35,0,father,1.221497968,BaYaka,Male
X10.spear_from,2673,45,1,father,1.221497968,BaYaka,Male
X10.spear_from,2899,25,1,father,1.221497968,BaYaka,Male
X10.spear_from,2999,25,0,father,1.221497968,BaYaka,Male
X11.koko_from,1119,25,1,father,-1.372014305,BaYaka,Male
X11.koko_from,2034,35,1,father,-1.372014305,BaYaka,Male
X11.koko_from,2610,35,1,father,-1.372014305,BaYaka,Male
X12.jabuka_from,1108,35,1,father,-1.209919788,BaYaka,Male
X12.jabuka_from,2610,35,1,father,-1.209919788,BaYaka,Male
X13.mbila_from,1010,8,1,father,-1.024668912,BaYaka,Male
X13.mbila_from,1108,35,1,father,-1.024668912,BaYaka,Male
X13.mbila_from,2604,35,1,father,-1.024668912,BaYaka,Male
X13.mbila_from,2608,65,1,father,-1.024668912,BaYaka,Male
X13.mbila_from,2610,35,1,father,-1.024668912,BaYaka,Male
X13.mbila_from,2664,16,1,father,-1.024668912,BaYaka,Male
X14.butcheranimal_from,1105,45,1,father,-1.337279766,BaYaka,Male
X14.butcheranimal_from,1108,35,1,father,-1.337279766,BaYaka,Male
X14.butcheranimal_from,1117,55,1,father,-1.337279766,BaYaka,Male
X14.butcheranimal_from,2024,45,1,father,-1.337279766,BaYaka,Male
X14.butcheranimal_from,2508,14,1,father,-1.337279766,BaYaka,Male
X14.butcheranimal_from,2610,35,1,father,-1.337279766,BaYaka,Male
X14.butcheranimal_from,2612,65,1,father,-1.337279766,BaYaka,Male
X14.butcheranimal_from,2664,16,1,father,-1.337279766,BaYaka,Male
X15.butcherfish_from,1108,35,1,father,-0.723636237,BaYaka,Male
X15.butcherfish_from,2024,45,1,father,-0.723636237,BaYaka,Male
X15.butcherfish_from,2599,17,1,father,-0.723636237,BaYaka,Male
X15.butcherfish_from,2604,35,1,father,-0.723636237,BaYaka,Male
X15.butcherfish_from,2610,35,1,father,-0.723636237,BaYaka,Male
X16.fishpoison_from,1006,17,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1022,12,0,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1032,16,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1101,25,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1103,45,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1104,45,0,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1105,45,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1108,35,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1110,45,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1111,65,0,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1112,35,0,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1113,35,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1117,55,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,1119,25,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,2024,45,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,2034,35,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,2508,14,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,2524,12,1,father,-0.457338102,BaYaka,Male
X16.fishpoison_from,2526,14,1,father,-0.457338102,BaYaka,Male
