sex,age,culture,ID,skill,y,animal,plant,method,from,sex_pathway
1,11,Hadza,12005,X1.digtuber,1,NA,NA,Individual,NA,NA
1,13,Hadza,12006,X1.digtuber,0,NA,NA,NA,NA,NA
1,16,Hadza,12007,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,14,Hadza,12008,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,17,Hadza,12017,X1.digtuber,1,NA,NA,Individual,NA,NA
0,16,Hadza,12018,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,18,Hadza,12019,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
1,13,Hadza,12020,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,14,Hadza,12021,X1.digtuber,1,NA,NA,Teaching,Horizontal,NA
1,13,Hadza,12022,X1.digtuber,1,NA,NA,Observation,Vertical,Male
1,55,Hadza,12027,X1.digtuber,1,NA,NA,Observation,Vertical,Both Sexes
0,55,Hadza,12029,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,25,Hadza,12032,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,45,Hadza,12034,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,45,Hadza,12035,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,35,Hadza,12036,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,65,Hadza,12037,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,25,Hadza,12038,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
1,25,Hadza,12039,X1.digtuber,0,NA,NA,NA,NA,NA
1,15,Hadza,12040,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,55,Hadza,12041,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,65,Hadza,12042,X1.digtuber,1,NA,NA,Teaching,Vertical,Both Sexes
1,65,Hadza,12043,X1.digtuber,0,NA,NA,NA,NA,NA
0,65,Hadza,12044,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12045,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,25,Hadza,12046,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12049,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,25,Hadza,12051,X1.digtuber,0,NA,NA,NA,NA,NA
1,25,Hadza,12052,X1.digtuber,0,NA,NA,NA,NA,NA
1,25,Hadza,12053,X1.digtuber,1,NA,NA,Teaching,Vertical,Both Sexes
1,25,Hadza,12054,X1.digtuber,0,NA,NA,NA,NA,NA
1,35,Hadza,12055,X1.digtuber,0,NA,NA,NA,NA,NA
0,25,Hadza,12056,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12057,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
1,25,Hadza,12058,X1.digtuber,0,NA,NA,NA,NA,NA
1,25,Hadza,12060,X1.digtuber,1,NA,NA,Teaching,Oblique,Female
0,14,Hadza,12078,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,13,Hadza,12079,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
1,10,Hadza,12080,X1.digtuber,0,NA,NA,NA,NA,NA
1,7,Hadza,12081,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,15,Hadza,12083,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
1,45,Hadza,12084,X1.digtuber,1,NA,NA,Observation,Oblique,Female
0,45,Hadza,12085,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,55,Hadza,12086,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
1,55,Hadza,12087,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,25,Hadza,12089,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,65,Hadza,12090,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,25,Hadza,12091,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,25,Hadza,12093,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,25,Hadza,12094,X1.digtuber,0,NA,NA,NA,NA,NA
0,25,Hadza,12095,X1.digtuber,1,NA,NA,Individual,NA,NA
0,45,Hadza,12096,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,45,Hadza,12097,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,25,Hadza,12099,X1.digtuber,1,NA,NA,Observation,Vertical,Both Sexes
1,25,Hadza,12100,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12102,X1.digtuber,0,NA,NA,NA,NA,NA
1,11,Hadza,12104,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,9,Hadza,12105,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,7,Hadza,12106,X1.digtuber,0,NA,NA,NA,NA,NA
1,17,Hadza,12109,X1.digtuber,0,NA,NA,NA,NA,NA
1,14,Hadza,12110,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,17,Hadza,12111,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,65,Hadza,12118,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,25,Hadza,12119,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,25,Hadza,12120,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,65,Hadza,12124,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
1,65,Hadza,12127,X1.digtuber,0,NA,NA,NA,NA,NA
0,55,Hadza,12128,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
1,35,Hadza,12129,X1.digtuber,1,NA,NA,Observation,Oblique,Female
0,35,Hadza,12130,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12133,X1.digtuber,1,NA,NA,Observation,Vertical,Both Sexes
0,35,Hadza,12134,X1.digtuber,1,NA,NA,Teaching,Vertical,Both Sexes
0,9,Hadza,12138,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,25,Hadza,12139,X1.digtuber,0,NA,NA,NA,NA,NA
0,55,Hadza,12145,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,55,Hadza,12146,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12147,X1.digtuber,1,NA,NA,Teaching,Oblique,Female
0,45,Hadza,12148,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,45,Hadza,12149,X1.digtuber,1,NA,NA,Observation,Oblique,Female
0,35,Hadza,12150,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12151,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,45,Hadza,12157,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,35,Hadza,12158,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,13,Hadza,12159,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,6,Hadza,12161,X1.digtuber,1,NA,NA,Teaching,Vertical,Female
0,19,Hadza,12163,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,35,Hadza,12164,X1.digtuber,1,NA,NA,Observation,Vertical,Female
0,35,Hadza,12165,X1.digtuber,1,NA,NA,Observation,Vertical,Female
1,11,Hadza,12005,X2.firewood,1,NA,NA,Individual,NA,NA
1,13,Hadza,12006,X2.firewood,1,NA,NA,Observation,Vertical,Female
1,16,Hadza,12007,X2.firewood,1,NA,NA,Observation,Vertical,Female
0,14,Hadza,12008,X2.firewood,1,NA,NA,Observation,Oblique,NA
0,17,Hadza,12017,X2.firewood,1,NA,NA,Teaching,Vertical,Male
0,16,Hadza,12018,X2.firewood,1,NA,NA,Observation,Vertical,Female
1,18,Hadza,12019,X2.firewood,1,NA,NA,Observation,Vertical,Female
1,13,Hadza,12020,X2.firewood,0,NA,NA,NA,NA,NA
1,14,Hadza,12021,X2.firewood,1,NA,NA,Teaching,Vertical,Female
1,13,Hadza,12022,X2.firewood,1,NA,NA,Teaching,Vertical,Female
1,55,Hadza,12027,X2.firewood,1,NA,NA,Observation,Vertical,Both Sexes
0,55,Hadza,12029,X2.firewood,1,NA,NA,Teaching,Vertical,Female
1,25,Hadza,12032,X2.firewood,1,NA,NA,Observation,Vertical,Female
0,45,Hadza,12034,X2.firewood,1,NA,NA,Observation,Vertical,Female
1,45,Hadza,12035,X2.firewood,1,NA,NA,Teaching,Vertical,Female
0,35,Hadza,12036,X2.firewood,1,NA,NA,Teaching,Vertical,Female
0,65,Hadza,12037,X2.firewood,1,NA,NA,Individual,NA,NA
0,25,Hadza,12038,X2.firewood,1,NA,NA,Teaching,Vertical,Female
1,25,Hadza,12039,X2.firewood,0,NA,NA,NA,NA,NA
1,15,Hadza,12040,X2.firewood,1,NA,NA,Teaching,Vertical,Female
0,55,Hadza,12041,X2.firewood,1,NA,NA,Individual,NA,NA
1,65,Hadza,12042,X2.firewood,1,NA,NA,Teaching,Vertical,Female
1,65,Hadza,12043,X2.firewood,1,NA,NA,Teaching,Vertical,Male
0,65,Hadza,12044,X2.firewood,1,NA,NA,Teaching,Vertical,Female
1,35,Hadza,12045,X2.firewood,1,NA,NA,Teaching,Vertical,Male
0,25,Hadza,12046,X2.firewood,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12049,X2.firewood,1,NA,NA,Individual,NA,NA
1,25,Hadza,12051,X2.firewood,0,NA,NA,NA,NA,NA
1,25,Hadza,12052,X2.firewood,1,NA,NA,Individual,NA,NA
1,25,Hadza,12053,X2.firewood,1,NA,NA,Teaching,Vertical,Female
1,25,Hadza,12054,X2.firewood,1,NA,NA,Observation,Vertical,Male
1,35,Hadza,12055,X2.firewood,1,NA,NA,Individual,NA,NA
0,25,Hadza,12056,X2.firewood,1,NA,NA,Observation,Vertical,Female
1,35,Hadza,12057,X2.firewood,1,NA,NA,Teaching,Vertical,Female
1,25,Hadza,12058,X2.firewood,1,NA,NA,Observation,Vertical,Female
